id,name,owner,status,layout_id,created_time,start_date,end_date
2376502000005180127,1177 - Clinica Leonardo da Vinci - NR/AP,Giovani,Em Andamento,,2025-08-26T00:58:15.646Z,2025-08-25,2026-02-11
2376502000005155003,1175 - Diagcentro Diagnóstico por Imagem e Cardiologia - NR/AP,Giovani,Em Andamento,,2025-08-21T03:15:14.802Z,2025-08-21,2026-01-01
2376502000005039203,1173 - Clínica Médica Saúde Popular - AP,willian.anjos,Em Andamento,,2025-08-20T05:08:57.835Z,2025-08-19,2026-01-29
2376502000004998563,1162 - Hospital Evangélico Goiano - AP,willian.anjos,Em Andamento,,2025-08-20T04:59:14.974Z,2025-08-18,2025-12-30
2376502000004886545,1172 - Hospital Geral Intermunicipal – HGI Dr. Aryzone Mendes de Araújo - AP,Giovani,Em Andamento,,2025-08-18T22:10:03.664Z,2025-08-18,2025-10-28
2376502000004886413,1171 - Hospital Santo Antônio - AP,Giovani,Aberto,,2025-08-18T21:14:29.267Z,2025-08-18,2025-12-10
2376502000004884673,1169 - Hospital São Francisco de Paula - AP,willian.anjos,Em Andamento,,2025-08-18T20:45:18.177Z,2025-08-15,2025-12-26
2376502000004868147,1167 - Vida de Radiologista - AP,willian.anjos,Operação Assistida,,2025-08-14T18:44:25.683Z,2025-08-13,2025-12-23
2376502000004792003,1166 - Futura Diagnósticos por Imagem - AP/NR,willian.anjos,Em Andamento,,2025-08-08T20:28:51.065Z,2025-08-01,2025-12-11
2376502000004745039,1158 - Unidade Radiologica Mallouk Mizuma - AP,willian.anjos,Em Andamento,,2025-08-06T04:04:45.597Z,2025-08-05,2025-12-12
2376502000004720640,1064 - Hospital da Reserva - AP,Giovani,Em Andamento,,2025-08-05T03:19:38.595Z,2024-12-05,2026-01-02
2376502000004659428,1149 - Instituto de Medicina Nuclear - AP/NR,willian.anjos,Em Andamento,,2025-07-31T05:41:54.479Z,2025-07-30,2025-12-09
2376502000004659302,1163 - Valeimagem - AP,willian.anjos,Em Andamento,,2025-07-31T05:21:04.139Z,2025-07-28,2025-12-08
2376502000004611869,1161 - Master Jaru Hospital - AP,willian.anjos,Em Andamento,,2025-07-25T04:20:16.370Z,2025-07-22,2025-12-02
2376502000004527130,1156 - Hospital Santa  Terezinha - AP,Giovani,Aberto,,2025-07-21T14:39:39.317Z,2025-07-14,2025-11-11
2376502000004324882,1155 - RM Paduá - NR/AP,Giovani,Aberto,,2025-07-08T21:06:26.036Z,2025-07-01,2025-11-24
2376502000004294348,293/2024 - Centro Radiológico Goiania - Aditivo Filiais,Giovani,Aberto,,2025-07-07T20:27:48.952Z,2024-09-17,
2376502000004273892,1154 - Diagnósticos Clinica - AP/NR,willian.anjos,Em Andamento,,2025-07-04T03:39:04.464Z,2025-07-03,2025-11-24
2376502000004263019,1145 - Unimed Alto da Serra - AP,Giovani,Aberto,,2025-07-03T19:26:09.337Z,2025-07-01,2025-11-25
2376502000004257006,1151 - Serviço de Diagnóstico Santa Paula - AP,willian.anjos,Aberto,,2025-07-03T01:08:03.408Z,2025-07-01,2025-11-07
2376502000004242191,1150 - Hospital e Clínica Santa Paula - AP ,willian.anjos,Aberto,,2025-07-02T21:05:08.739Z,2025-07-01,2025-11-07
2376502000004231100,1143 - Clinica Tirol - NR/AP,Giovani,Aberto,,2025-07-02T00:38:43.194Z,2025-07-01,2025-11-25
2376502000004208739,1146 - Hospital São Vicente de Paulo - Campo Belo - AP,Giovani,Aberto,,2025-07-01T21:40:00.704Z,2025-06-27,2025-11-04
2376502000004208431,1128 - Acesso Saúde Taguatinga - AP,Giovani,Aberto,,2025-07-01T20:40:31.358Z,2025-06-17,2025-10-24
2376502000004208211,Projeto registro de horas NÃO FATURÁVEIS - 3° Trimestre/2025,Giovani,Aberto,,2025-07-01T20:21:10.966Z,2025-07-01,2025-11-03
2376502000004208003,1139 - CDI Porto Ferreira - NR/AP,Giovani,Aberto,,2025-07-01T19:23:09.173Z,2025-06-25,2025-10-30
2376502000004173461,1148 - Centro Diagnóstico Valgueiro - AP/NR ,willian.anjos,Operação Assistida,,2025-06-28T02:28:48.173Z,2025-06-27,
2376502000004053440,1142 - Hospital São Vicente de Paulo - AP ,willian.anjos,Em Andamento,,2025-06-21T04:17:25.068Z,2025-06-20,2025-11-12
2376502000004053174,1141 - Imagem X - AP/NR (Sem OA),willian.anjos,Em Andamento,,2025-06-21T01:28:36.963Z,2025-06-17,2025-12-08
2376502000004009628,1137 - Grupo Health - NR/AP,Giovani,Aberto,,2025-06-18T03:45:44.021Z,2025-06-13,2025-10-10
2376502000003928432,1118 - DoctorClin - AP,Giovani,Em Andamento,,2025-06-13T04:45:39.099Z,2025-06-12,2026-01-20
2376502000003930041,1136 - Clínica Vivery - AP/NR (Sem OA),willian.anjos,Em Andamento,,2025-06-12T21:50:25.774Z,2025-06-05,
2376502000003889423,1133 - Interventix - CENTRO DE DIAGNOSTICOS LTDA - AP,willian.anjos,Operação Assistida,,2025-06-12T00:55:31.898Z,2025-06-11,2026-01-30
2376502000003782377,1129 - CDI Registro - Instituto Radio Diagnóstico - AP (Sem OA),willian.anjos,Operação Assistida,,2025-06-05T22:35:24.799Z,2025-06-02,2025-11-07
2376502000003782093,1135 - IMR - INSTITUTO MARQUES DE RADIOLOGIA - NR/AP,Giovani,Em Andamento,,2025-06-05T20:23:15.138Z,2025-06-04,2025-12-16
2376502000003729268,1131 - Associação Hospitalar São José - AP (Sem OA),willian.anjos,Operação Assistida,,2025-05-31T07:16:04.943Z,2025-05-29,2025-11-14
2376502000003715878,1130 - CEMISC - Centro Médico Integrado Santa Catarina - AP (Sem OA),willian.anjos,Operação Assistida,,2025-05-31T06:38:25.904Z,2025-05-29,2025-11-19
